"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets Received","Likes Received","Tweet Location","Tweet Language","User  Id",Name,Username,"User Bio","Verified or Non-Verified","Profile URL","User Followers","User Following","User Account Creation Date"
"""1664109091411697665""",https://twitter.com/TruthfullyJaine/status/1664109091411697665,"01 Jun 2023 03:18:19","""https://t.co/ZSUYFCujYj

NOW AVAILABLE ON IUIC COLUMBUS OHIO PAGE!! 
…………………………………………… 
Visit our website here 💻👨🏾‍💻🖥
🔴 https://t.co/OB3q8xGKAk

#Christ #IUIC #Nathanyel7   #CriticalRaceTheory #Prophets https://t.co/sY1xNyQ7Y9""",ReTweet,"""Twitter for Android""",0,0,"""""",English,"""1500123086514970631""","""Truthfulness""",TruthfullyJaine,"""The fact of being true; truth.

Your Fault with the Truth is...""",Non-Verified,https://twitter.com/TruthfullyJaine,24,121,"05-Mar-2022 14:56:47"
"""1664086531793993729""",https://twitter.com/LeVeraSutton/status/1664086531793993729,"01 Jun 2023 01:48:41","""For more    https://t.co/0hBRubF3Zp

#1619Project   #reparations #criticalracetheory #nojusticenopeace #blacklivesmatter https://t.co/PLyGGeHtn3""",ReTweet,"""Twitter for Android""",1,0,"""""",English,"""43336894""","""LeVera""",LeVeraSutton,"""""",Non-Verified,https://twitter.com/LeVeraSutton,556,2177,"29-May-2009 14:16:01"
"""1664085261045620737""",https://twitter.com/PatrioticSpirit/status/1664085261045620737,"01 Jun 2023 01:43:38","""#Lawfare #CriticalRaceTheory #PoliticalPersecution so on and so forth...

#DemonRats are at #War with the very notion of #America and our culture of #Liberty and #Freedom! https://t.co/e61deMILl1 https://t.co/ZlxvEG5zxC""",Tweet,"""Twitter for Android""",0,0,"""""",English,"""65854394""","""❌SpiritOfLiberty❌""",PatrioticSpirit,"""#Constitutionalist w/#Conservative leanings #WeThePeople #TheAnswerIs1776 #ComeAndTakeIt #Constitution #1A #2A #Patriot #Liberty #IIIPercenter #MAGA #KAG #NoPC""",Non-Verified,https://twitter.com/PatrioticSpirit,3588,4170,"15-Aug-2009 07:41:49"
"""1664083837817610243""",https://twitter.com/Elharraqayoub/status/1664083837817610243,"01 Jun 2023 01:37:58","""For more    https://t.co/0hBRubF3Zp

#1619Project   #reparations #criticalracetheory #nojusticenopeace #blacklivesmatter https://t.co/PLyGGeHtn3""",Tweet,"""Twitter for Android""",1,1,"""""",English,"""841272139558866945""","""Elharraq ayoub""",Elharraqayoub,"""I work in advertising marketing""",Non-Verified,https://twitter.com/Elharraqayoub,42,519,"13-Mar-2017 12:58:02"
"""1664075889095905280""",https://twitter.com/atptatp/status/1664075889095905280,"01 Jun 2023 01:06:23","""https://t.co/MLrn15ME1a

#ProfessorBlackTruth #MoT #PBT #History #Education #School #Amanda #Gordon #TheHillWeClimb #Langston #Hughes #ABCsOfBlackHistory #CRT #CriticalRaceTheory #Woke #AntiBlackRacism #Miami #Florida #BookBan #WhiteSupremacy #White #Latino #Cuban #Immigrant""",Tweet,"""Twitter Web App""",0,0,"""""",,"""1081711923970883585""","""concerned citizen""",atptatp,"""Twitter and it's employees are anti-Black, racist, white supremacists.""",Non-Verified,https://twitter.com/atptatp,105,87,"06-Jan-2019 00:39:54"
"""1664065446364999681""",https://twitter.com/ProfessorJBA/status/1664065446364999681,"01 Jun 2023 00:24:53","""Lest we remember…🔗https://t.co/MefZt1o3Eg #CriticalRaceTheory #MemorialDay #SpeakBlackMan 🎙️ https://t.co/uwNjDxPK2g""",ReTweet,"""Twitter for iPhone""",9,0,"""""",English,"""1309321100""","""Jason B. Allen""",ProfessorJBA,"""Teacher |Leader |Activist |Storyteller #ProfessorJBA ➡️ @eduentities 📝@LilliesCARES 🪷 @AllenforAPS🍎 @studforequity📗 @TheEduVoice 🖍@SpeakBlackMan 🎙#iWin""",Non-Verified,https://twitter.com/ProfessorJBA,4404,4997,"28-Mar-2013 03:41:30"
"""1664030269211561984""",https://twitter.com/LvovLvi/status/1664030269211561984,"31 May 2023 22:05:07","""This is part of US History and has to be taught, ...But if THIS racism were why Black Americans are low acheivers today, then Jews would not be high achievers in Germany today.https://t.co/EUuUwc0zGZ #CriticalRaceTheory #racism #AfricanAmercian""",Tweet,"""Twitter Web App""",0,0,"""""",English,"""1620015675480887297""","""Today's Bad News""",LvovLvi,"""Ignorant Humans doing Short Sighted Things--Politics, Race, Medicine, Humanities, Art, Culture""",Non-Verified,https://twitter.com/LvovLvi,33,209,"30-Jan-2023 11:07:11"
"""1664024732088369154""",https://twitter.com/DavidBenShannon/status/1664024732088369154,"31 May 2023 21:43:06","""It’s interesting to note, having just done a #QueerTheory, how all the tweeting about #CriticalRaceTheory (that didn’t know what it was) has now expanded to include #QueerTheory (without knowing what it is) and #CriticalPedagogy (also without knowing what it is).""",Tweet,"""Twitter for Mac""",0,1,"""""",English,"""773973741764218880""","""Dr David Ben Shannon is boycotting marking""",DavidBenShannon,"""@ESRI_MMU | @SHU_SIoE | @ObliqueCurios | @NeuroQueerChld Early childhood education, critical autism studies, & queer/affect theory (and Dr Who). (he/him)""",Non-Verified,https://twitter.com/DavidBenShannon,426,916,"08-Sep-2016 19:58:14"
"""1664023038063525888""",https://twitter.com/IuicSpringfield/status/1664023038063525888,"31 May 2023 21:36:22","""https://t.co/2h9PXPOiX4

NOW AVAILABLE ON IUIC COLUMBUS OHIO PAGE!! 
…………………………………………… 
Visit our website here 💻👨🏾‍💻🖥
🔴 https://t.co/AWmnhQmPg9

#Christ #IUIC #Nathanyel7   #CriticalRaceTheory #Prophets""",Tweet,"""Twitter for iPhone""",0,0,"""""",English,"""1397381001945436160""","""IUICSpringfield""",IuicSpringfield,"""So called Blacks, Hispanics, and Native American Indians are the Israelites of the Bible. Follow to learn more.""",Non-Verified,https://twitter.com/IuicSpringfield,665,91,"26-May-2021 02:36:58"
"""1663966455342219273""",https://twitter.com/Khayden2412/status/1663966455342219273,"31 May 2023 17:51:32","""This is an incredibly well laid out overview of the violence and racism carried out against black people over centuries in America… exactly the history the right don’t want students learning in schools.

https://t.co/8S5I26UrcR

#CRT #CriticalRaceTheory https://t.co/5lxkT8DOu9""",Tweet,"""Twitter for iPhone""",0,2,"""Dublin City, Ireland Ireland""",English,"""1686377761""","""Karl Hayden""",Khayden2412,"""Long time human, civil and LGBT rights activist 🏳️‍⚧️ 🏳️‍🌈, I stand with people of Palestine 🇵🇸 and Ukraine 🇺🇦, the LGBT communities of the world 🌎""",Non-Verified,https://twitter.com/Khayden2412,2650,1492,"20-Aug-2013 17:53:34"
